claim_id,policy_type,claim_type,incident_location_type,witnesses_present,agent_flagged_history,police_report_filed,claimant_age,policy_tenure_years,prior_claims_count,days_to_report_claim,claim_amount_kes,estimated_repair_cost_kes,claim_amount_to_policy_limit_ratio,customer_credit_score,claim_status
218,Property,Medical,Urban,Yes,Yes,,39.0,1.2,0,4.2,243383.0,250749.0,0.347,612.3743686609118,Legitimate
219,Auto,Medical,Urban,No,No,,38.0,14.0,0,7.7,568155.0,602095.0,0.68,620.6484929856631,Legitimate
220,Life,Fire,Rural,Yes,No,,66.0,8.3,0,1.9,214615.0,207943.0,0.235,,Legitimate
221,Auto,Collision,Suburban,Yes,No,Yes,60.0,8.6,0,1.7,153522.0,153551.0,0.173,762.9071615385672,Legitimate
222,Health,Collision,Urban,Yes,Yes,No,18.0,5.8,1,5.8,68474.0,75438.0,0.475,850.0,Legitimate
223,Health,Medical,Suburban,Yes,No,,52.0,7.5,1,6.4,176333.0,207452.0,0.177,638.2118333129672,Legitimate
224,Property,Medical,Urban,Yes,No,,44.0,10.4,0,0.2,71382.0,63116.0,0.199,563.3434256724364,Legitimate
225,Life,Fire,Rural,No,No,,49.0,11.1,0,1.0,274962.0,291933.0,0.237,739.060795469625,Legitimate
226,Auto,Liability,Urban,No,No,No,18.0,2.3,1,3.6,433222.0,453661.0,0.385,558.938052130292,Legitimate
227,Auto,Collision,Urban,Yes,Yes,No,33.0,5.5,4,1.8,356278.0,407609.0,0.18,538.9795465170344,Legitimate
228,Health,Collision,Urban,Yes,No,Yes,18.0,1.1,2,4.6,226118.0,233800.0,0.176,635.3953504713111,Legitimate
229,Life,Collision,Urban,Yes,No,,42.0,3.9,0,10.2,203683.0,185679.0,0.167,735.1888545356252,Legitimate
230,Auto,Collision,Rural,Yes,No,Yes,23.0,1.9,0,2.7,163824.0,170950.0,0.193,628.2086659615642,Legitimate
231,Auto,Collision,Urban,Yes,No,Yes,41.0,4.4,1,5.1,84866.0,83271.0,0.212,764.629146366876,Legitimate
232,Auto,Medical,Suburban,Yes,No,,39.0,2.7,1,1.7,598131.0,552085.0,0.242,552.6016579640869,Legitimate
233,Property,Medical,Suburban,Yes,No,,44.0,16.7,2,6.7,364737.0,375785.0,0.25,,Legitimate
234,Health,Liability,Urban,Yes,No,Yes,51.0,5.5,2,1.3,135908.0,135572.0,0.23,512.9821163098466,Legitimate
235,Property,Collision,Rural,No,No,No,56.0,3.7,2,2.2,176736.0,182907.0,0.766,,Fraudulent
236,Property,Medical,Rural,No,No,,18.0,3.0,1,5.0,14595.0,15264.0,0.217,759.6031298261239,Legitimate
237,Property,Medical,Urban,Yes,No,,51.0,10.4,2,4.3,189735.0,170476.0,0.24,,Legitimate
238,Auto,Medical,Urban,Yes,No,,39.0,3.7,1,1.1,134551.0,138140.0,0.519,626.4982326534079,Legitimate
239,Property,Liability,Rural,Yes,No,No,51.0,8.5,2,1.5,533748.0,491878.0,0.22,588.3161742397185,Legitimate
240,Auto,Fire,Rural,Yes,No,No,58.0,10.4,2,1.3,142683.0,140208.0,0.369,528.219505520482,Legitimate
241,Auto,Collision,Urban,No,No,No,36.0,1.1,0,2.4,388611.0,381433.0,0.446,471.6808002535255,Fraudulent
242,Life,Collision,Urban,Yes,No,,39.0,5.3,0,6.7,228089.0,203789.0,0.585,574.953600081864,Legitimate
243,Auto,Liability,Suburban,No,No,No,46.0,1.6,1,3.2,299732.0,326923.0,0.567,629.0794043853983,Legitimate
244,Auto,Theft,Urban,No,Yes,Yes,58.0,0.7,1,0.9,218172.0,202714.0,0.189,691.9005620852322,Legitimate
245,Life,Theft,Suburban,Yes,No,,18.0,9.2,1,1.6,11256.0,11832.0,0.225,652.6074647123287,Legitimate
246,Auto,Theft,Rural,No,Yes,Yes,51.0,5.9,2,6.6,107907.0,107095.0,0.171,604.3679767220153,Legitimate
247,Property,Medical,Rural,No,No,,47.0,9.3,2,3.8,85662.0,92081.0,0.173,730.0168117509952,Legitimate
248,Auto,Fire,Suburban,No,No,Yes,38.0,4.6,0,1.4,52704.0,46667.0,0.168,578.3562963844379,Legitimate
249,Health,Collision,Suburban,Yes,No,Yes,34.0,13.6,0,2.8,147052.0,144651.0,0.417,830.1482053501054,Legitimate
250,Auto,Medical,Suburban,Yes,No,,50.0,18.6,1,5.7,162756.0,175804.0,0.342,599.7197838189934,Legitimate
251,Property,Liability,Urban,No,Yes,Yes,37.0,5.6,0,1.8,8530.0,8181.0,0.171,684.8652634036897,Legitimate
252,Auto,Collision,Urban,No,No,No,36.0,3.7,1,3.4,66755.0,67793.0,0.403,564.928548600212,Fraudulent
253,Auto,Collision,Urban,Yes,No,No,73.0,0.4,0,14.4,59644.0,51906.0,0.216,685.8003448876651,Legitimate
254,Life,Collision,Urban,No,No,,43.0,4.5,0,5.5,195009.0,170343.0,0.313,600.9562951490445,Legitimate
255,Property,Fire,Rural,No,No,No,65.0,3.4,2,5.8,96193.0,101605.0,0.719,660.632681145966,Fraudulent
256,Auto,Medical,Urban,Yes,No,,21.0,9.9,1,3.4,83092.0,81632.0,0.17,596.2646401685788,Legitimate
257,Property,Collision,Urban,No,No,Yes,46.0,9.0,1,17.8,118766.0,126448.0,0.232,623.4526634857166,Legitimate
258,Life,Liability,Rural,Yes,No,,34.0,2.7,1,0.9,78019.0,76745.0,0.172,684.2087466914281,Legitimate
259,Auto,Collision,Suburban,Yes,No,Yes,28.0,2.7,2,3.3,107031.0,119518.0,0.261,461.4450283667469,Legitimate
260,Life,Medical,Rural,Yes,No,,19.0,19.1,0,1.0,83803.0,83822.0,0.397,733.1952388519094,Legitimate
261,Auto,Fire,Rural,Yes,No,Yes,48.0,1.3,0,3.0,222113.0,244380.0,0.705,667.7912873624463,Legitimate
262,Health,Theft,Urban,Yes,No,Yes,18.0,5.4,1,11.3,153671.0,155194.0,0.659,721.5210532874767,Legitimate
263,Life,Fire,Urban,No,No,,32.0,2.5,0,10.2,175246.0,176234.0,0.274,638.1789202822579,Legitimate
264,Auto,Theft,Suburban,No,No,No,47.0,7.8,1,11.4,118119.0,115802.0,0.729,739.3947882727566,Fraudulent
265,Auto,Collision,Urban,No,No,Yes,75.0,2.9,1,11.9,86053.0,94311.0,0.316,535.5418404143189,Legitimate
266,Auto,Medical,Suburban,Yes,No,,37.0,11.8,3,6.0,295795.0,286611.0,0.551,533.1438033321003,Legitimate
267,Life,Theft,Rural,Yes,No,,43.0,5.7,0,0.1,351487.0,427150.0,0.179,469.4613479629163,Legitimate
268,Life,Theft,Urban,No,No,,35.0,8.9,0,6.4,555642.0,593284.0,0.219,589.2045720725591,Legitimate
269,Auto,Collision,Urban,No,No,Yes,35.0,4.7,2,15.9,168992.0,182681.0,0.435,588.3959610976453,Legitimate
270,Health,Collision,Rural,No,No,Yes,20.0,3.7,1,12.2,207455.0,190374.0,0.172,608.899789424404,Legitimate
271,Health,Collision,Suburban,Yes,No,Yes,30.0,3.1,1,1.4,177883.0,150054.0,0.567,596.3252460330807,Legitimate
272,Health,Medical,Urban,Yes,No,,33.0,1.7,0,4.3,127351.0,131532.0,0.388,,Legitimate
273,Auto,Medical,Urban,Yes,No,,23.0,1.3,0,1.7,145030.0,141996.0,0.181,378.93621160107347,Legitimate
274,Property,Medical,Suburban,Yes,No,,55.0,4.1,0,12.1,297132.0,277597.0,0.266,682.1914242500595,Legitimate
275,Auto,Theft,Rural,No,No,Yes,50.0,3.1,0,5.6,89397.0,77834.0,0.388,799.8668418819752,Legitimate
276,Property,Medical,Urban,Yes,No,,43.0,2.2,0,1.1,175449.0,196936.0,0.406,571.3306800886357,Legitimate
277,Property,Medical,Rural,Yes,No,,38.0,1.5,0,3.0,83167.0,71458.0,0.453,602.3571777359915,Legitimate
278,Property,Theft,Rural,No,No,No,31.0,4.7,2,4.2,186122.0,196050.0,0.388,741.097257284374,Fraudulent
279,Auto,Medical,Urban,No,No,,26.0,6.7,0,7.7,214573.0,209934.0,0.399,702.6103233699565,Legitimate
280,Health,Collision,Suburban,Yes,No,Yes,27.0,6.5,1,3.4,442763.0,504885.0,0.446,651.694884977846,Legitimate
281,Life,Medical,Urban,Yes,No,,30.0,2.6,1,4.4,283447.0,290016.0,0.784,664.8388466543473,Fraudulent
282,Health,Medical,Urban,Yes,No,,19.0,2.1,1,14.6,517269.0,437242.0,0.212,767.3860406340949,Legitimate
283,Auto,Fire,Suburban,No,No,Yes,36.0,4.0,0,7.5,132431.0,143091.0,0.354,,Legitimate
284,Property,Liability,Urban,No,Yes,Yes,43.0,13.3,2,7.7,169981.0,172863.0,0.296,643.8408133338799,Legitimate
285,Life,Medical,Rural,No,No,,54.0,19.0,2,3.3,384937.0,425707.0,0.544,734.2419942355303,Legitimate
286,Health,Theft,Rural,Yes,No,Yes,42.0,4.0,1,4.2,253569.0,240599.0,0.181,,Legitimate
287,Auto,Medical,Urban,No,No,,31.0,6.2,2,4.7,171620.0,187882.0,0.194,721.4187954402863,Legitimate
288,Health,Collision,Suburban,Yes,No,Yes,45.0,11.8,0,2.6,103356.0,115343.0,0.511,727.4009563386477,Legitimate
289,Auto,Medical,Urban,Yes,No,,55.0,6.7,0,4.1,86291.0,95848.0,0.175,574.7578449853953,Legitimate
290,Auto,Collision,Urban,Yes,No,Yes,43.0,13.0,2,1.0,224274.0,218367.0,0.267,662.4230334951428,Legitimate
291,Life,Liability,Rural,Yes,No,,39.0,7.7,0,0.9,33674.0,34194.0,0.196,629.6598654256402,Legitimate
292,Life,Fire,Urban,Yes,No,,19.0,1.4,0,2.8,75534.0,69602.0,0.644,486.30159196381,Legitimate
293,Auto,Theft,Urban,Yes,No,Yes,23.0,7.8,2,5.7,314000.0,308351.0,0.442,617.0204767990133,Legitimate
294,Auto,Collision,Rural,Yes,No,Yes,44.0,10.3,0,3.2,60032.0,59702.0,0.606,610.1908235255523,Legitimate
295,Property,Collision,Suburban,No,No,Yes,18.0,5.7,0,6.2,133805.0,135638.0,0.539,615.9176082302198,Legitimate
296,Auto,Theft,Urban,Yes,No,Yes,47.0,7.0,1,5.2,92952.0,109336.0,0.199,675.9921870676371,Legitimate
297,Life,Medical,Suburban,Yes,No,,38.0,3.4,0,6.3,199824.0,209550.0,0.283,578.2905289160279,Legitimate
298,Auto,Collision,Rural,Yes,No,Yes,31.0,6.1,0,0.6,22619.0,22418.0,0.179,691.2275472272127,Legitimate
299,Property,Medical,Suburban,Yes,No,,33.0,4.7,0,5.3,335054.0,306742.0,0.44,585.7590748446237,Legitimate
300,Auto,Collision,Urban,Yes,No,No,19.0,5.0,0,6.5,177412.0,186067.0,0.191,560.5070417610293,Legitimate
301,Health,Collision,Rural,Yes,No,Yes,30.0,5.2,0,3.9,26428.0,22840.0,0.168,790.7891932793657,Legitimate
302,Health,Collision,Urban,No,Yes,No,49.0,2.6,4,5.1,250402.0,256580.0,0.171,588.6919583122732,Fraudulent
303,Auto,Liability,Urban,Yes,No,Yes,76.0,4.4,1,11.5,174133.0,173030.0,0.38,845.6458234018945,Legitimate
304,Auto,Fire,Suburban,Yes,No,Yes,49.0,9.7,1,5.9,230726.0,220899.0,0.387,618.6512233265755,Legitimate
305,Auto,Collision,Suburban,Yes,No,No,31.0,1.0,0,2.0,36588.0,34503.0,0.18,812.8090264529844,Legitimate
306,Auto,Collision,Urban,Yes,No,Yes,55.0,1.2,0,3.1,158975.0,156322.0,0.252,543.5498149555996,Legitimate
307,Health,Collision,Suburban,Yes,No,Yes,29.0,11.6,0,3.3,187973.0,195707.0,0.167,785.5970938565865,Legitimate
308,Auto,Medical,Rural,No,No,,52.0,7.8,0,3.3,35820.0,32838.0,0.229,549.5602594348117,Legitimate
309,Life,Collision,Suburban,Yes,No,,64.0,4.3,1,4.9,175901.0,163179.0,0.573,661.5868683534029,Legitimate
310,Health,Medical,Suburban,No,No,,49.0,10.2,1,11.3,122713.0,134623.0,0.174,726.3294089447256,Legitimate
311,Auto,Collision,Urban,No,No,No,47.0,3.3,2,5.4,453711.0,363988.0,0.176,587.8950444210191,Legitimate
312,Health,Medical,Rural,No,No,,26.0,5.7,0,3.0,129544.0,128877.0,0.725,703.464765151917,Legitimate
313,Property,Medical,Suburban,No,No,,54.0,2.1,5,4.9,227728.0,226459.0,0.419,514.0386778118344,Fraudulent
314,Health,Liability,Rural,No,No,No,45.0,6.6,0,2.8,225767.0,254484.0,0.192,762.9788354676534,Legitimate
315,Property,Liability,Suburban,No,No,Yes,31.0,1.7,1,9.0,27440.0,26246.0,0.549,723.5992795503868,Fraudulent
316,Life,Medical,Urban,Yes,No,,52.0,2.7,0,2.0,36638.0,36408.0,0.247,672.6865854307076,Legitimate
317,Life,Collision,Suburban,Yes,No,,49.0,7.7,0,10.5,107864.0,96846.0,0.639,636.0000351066261,Legitimate
318,Auto,Collision,Rural,Yes,No,No,55.0,3.3,0,2.1,46124.0,46367.0,0.187,756.6067421768959,Legitimate
319,Health,Liability,Rural,No,No,Yes,50.0,9.1,1,5.9,147965.0,140852.0,0.259,592.0047453984793,Legitimate
320,Auto,Collision,Urban,Yes,No,No,35.0,1.4,0,7.0,124273.0,121939.0,0.217,559.2496782346345,Legitimate
321,Auto,Collision,Suburban,No,Yes,Yes,23.0,7.4,1,1.1,139833.0,134100.0,0.335,646.2157133624942,Fraudulent
322,Health,Theft,Suburban,Yes,No,Yes,18.0,4.0,2,5.2,185043.0,179847.0,0.205,850.0,Legitimate
323,Auto,Medical,Rural,Yes,No,,28.0,3.0,3,4.3,133370.0,142368.0,0.273,661.0095081504439,Legitimate
324,Health,Theft,Urban,Yes,No,No,44.0,5.4,1,3.9,198379.0,216290.0,0.245,660.7823052169512,Legitimate
325,Property,Liability,Suburban,Yes,No,Yes,46.0,12.8,2,7.7,93987.0,99187.0,0.387,850.0,Legitimate
326,Auto,Theft,Urban,Yes,No,Yes,54.0,8.5,2,3.1,424795.0,440675.0,0.221,588.1001624897658,Legitimate
327,Health,Collision,Rural,Yes,No,No,52.0,4.4,0,5.1,174310.0,164480.0,0.211,659.1225539597855,Legitimate
328,Health,Liability,Suburban,Yes,Yes,Yes,43.0,3.5,3,3.9,51911.0,57520.0,0.416,598.2891208307205,Fraudulent
329,Life,Liability,Suburban,Yes,No,,18.0,6.1,2,3.6,358511.0,373111.0,0.221,677.9570106961705,Legitimate
330,Auto,Fire,Urban,Yes,No,Yes,30.0,21.2,0,7.2,234007.0,197932.0,0.22,550.8672033606916,Legitimate
331,Auto,Collision,Urban,Yes,Yes,Yes,44.0,9.8,1,6.8,92301.0,98358.0,0.175,697.4524620803984,Legitimate
332,Property,Fire,Rural,Yes,No,Yes,18.0,3.6,0,11.0,44125.0,45002.0,0.293,684.2054801884711,Legitimate
333,Property,Medical,Urban,No,No,,40.0,2.7,1,4.2,281003.0,250700.0,0.168,708.5685913490331,Legitimate
334,Life,Fire,Urban,No,No,,59.0,3.3,2,2.8,101803.0,102395.0,0.19,590.0411877541211,Legitimate
335,Auto,Theft,Urban,Yes,No,Yes,45.0,10.8,3,6.3,303237.0,286973.0,0.493,662.2500131145576,Legitimate
336,Life,Collision,Suburban,No,No,,56.0,2.3,1,7.1,109957.0,119887.0,0.71,549.1280283182922,Legitimate
337,Property,Fire,Suburban,No,No,Yes,38.0,11.3,1,2.7,109457.0,109783.0,0.671,658.5041379598238,Legitimate
338,Auto,Theft,Urban,Yes,No,Yes,55.0,4.1,3,7.0,328077.0,329406.0,0.182,595.7652091006548,Legitimate
339,Auto,Collision,Suburban,Yes,No,Yes,40.0,7.6,0,5.8,95134.0,90290.0,0.261,,Legitimate
340,Auto,Liability,Rural,No,Yes,Yes,18.0,3.8,2,7.2,348328.0,351400.0,0.232,682.9666077456859,Legitimate
341,Auto,Theft,Suburban,No,No,Yes,32.0,4.7,1,6.2,316036.0,281915.0,0.451,602.7958946560615,Fraudulent
342,Health,Theft,Suburban,Yes,No,No,48.0,3.6,0,9.5,432527.0,364036.0,0.168,845.9496652424957,Legitimate
343,Property,Medical,Suburban,Yes,No,,34.0,5.4,1,6.8,163776.0,154664.0,0.212,850.0,Legitimate
344,Property,Medical,Suburban,No,No,,49.0,2.8,1,17.1,232028.0,231687.0,0.217,649.778724938124,Legitimate
345,Property,Collision,Urban,No,No,Yes,53.0,5.5,1,11.8,157014.0,150714.0,0.226,652.7531492766472,Legitimate
346,Auto,Liability,Urban,Yes,No,Yes,30.0,18.4,0,0.4,122316.0,131103.0,0.267,599.2010217398564,Legitimate
347,Auto,Theft,Urban,Yes,Yes,Yes,48.0,6.2,4,1.8,47101.0,45003.0,0.774,791.295975701852,Fraudulent
348,Property,Fire,Suburban,Yes,No,No,44.0,1.6,0,1.5,368855.0,348188.0,0.823,579.2037046640928,Legitimate
349,Auto,Collision,Suburban,No,No,Yes,41.0,2.5,0,9.7,209391.0,215094.0,0.183,699.0669032947341,Legitimate
350,Property,Liability,Rural,No,No,Yes,39.0,4.6,1,10.0,202254.0,192519.0,0.187,850.0,Fraudulent
351,Health,Collision,Urban,Yes,No,No,40.0,3.3,1,0.3,256343.0,251202.0,0.177,512.210820620519,Legitimate
352,Auto,Collision,Suburban,Yes,No,Yes,44.0,6.0,1,3.2,160020.0,166107.0,0.337,563.5793801575435,Legitimate
353,Property,Medical,Urban,Yes,No,,28.0,3.7,0,5.4,86760.0,89712.0,0.606,726.6610930067355,Legitimate
354,Health,Fire,Urban,Yes,No,Yes,80.0,5.8,0,2.8,27137.0,25632.0,0.475,644.3597572641008,Legitimate
355,Auto,Collision,Suburban,No,No,Yes,31.0,7.0,2,7.3,57516.0,58611.0,0.466,583.2615511854276,Legitimate
356,Health,Medical,Urban,Yes,No,,40.0,6.4,1,5.1,223251.0,250008.0,0.671,510.85335815031965,Legitimate
357,Property,Collision,Urban,Yes,No,No,50.0,3.7,2,3.7,55896.0,53943.0,0.202,695.6832457698288,Legitimate
358,Auto,Medical,Urban,Yes,Yes,,47.0,21.2,0,4.3,150704.0,159768.0,0.276,601.7293801847624,Legitimate
359,Auto,Liability,Rural,Yes,No,Yes,57.0,1.4,2,3.6,68406.0,67374.0,0.216,585.8048529700525,Legitimate
360,Auto,Collision,Suburban,Yes,No,No,55.0,2.8,0,3.3,219086.0,214251.0,0.498,693.1399929536344,Legitimate
361,Auto,Collision,Rural,No,No,Yes,48.0,1.2,1,2.0,167626.0,183978.0,0.184,737.323401406636,Legitimate
362,Health,Medical,Suburban,Yes,No,,29.0,18.2,1,7.0,507009.0,501927.0,0.185,740.6686601613761,Legitimate
363,Health,Fire,Suburban,No,No,No,32.0,13.2,1,4.9,125059.0,117984.0,0.407,724.0034787718673,Legitimate
364,Health,Theft,Rural,No,No,Yes,58.0,8.6,1,14.4,87797.0,91826.0,0.201,723.1698394270551,Legitimate
365,Auto,Medical,Urban,No,Yes,,33.0,6.3,0,7.2,536019.0,524004.0,0.177,644.8088840075519,Legitimate
366,Property,Collision,Suburban,Yes,Yes,Yes,39.0,3.7,0,5.9,196099.0,200513.0,0.293,688.222660662138,Legitimate
367,Auto,Medical,Suburban,Yes,No,,18.0,11.2,0,6.8,91873.0,89169.0,0.433,690.8393659355456,Legitimate
368,Property,Medical,Suburban,No,No,,38.0,3.4,2,1.0,297399.0,299631.0,0.238,759.162563339894,Legitimate
369,Auto,Collision,Suburban,No,Yes,Yes,66.0,14.4,0,5.8,187011.0,198607.0,0.169,639.2480737560305,Legitimate
370,Auto,Theft,Urban,Yes,No,Yes,45.0,10.0,1,12.1,77670.0,87410.0,0.201,543.9058231961338,Legitimate
371,Health,Collision,Suburban,Yes,No,No,37.0,0.9,2,5.0,113169.0,112613.0,0.194,668.7070343301476,Legitimate
372,Auto,Collision,Suburban,No,No,No,52.0,2.0,0,7.8,141341.0,151197.0,0.523,571.5885311023937,Legitimate
373,Health,Collision,Urban,No,No,Yes,18.0,1.4,0,4.3,13189.0,12895.0,0.169,589.0095054733869,Legitimate
374,Auto,Liability,Suburban,No,No,Yes,44.0,8.0,0,9.2,342954.0,349172.0,0.229,,Legitimate
375,Life,Collision,Rural,Yes,No,,45.0,7.2,0,2.4,401762.0,409847.0,0.663,718.1553667640193,Legitimate
376,Health,Fire,Urban,Yes,No,Yes,45.0,3.1,2,14.0,9857.0,9745.0,0.197,565.1763361119052,Legitimate
377,Health,Collision,Rural,Yes,No,No,39.0,6.4,0,12.8,109125.0,109113.0,0.248,583.2494814710008,Legitimate
378,Auto,Fire,Suburban,Yes,No,Yes,41.0,1.8,0,4.7,96067.0,110810.0,0.334,766.2077285663859,Legitimate
379,Health,Medical,Urban,No,No,,44.0,4.2,0,7.7,45739.0,36980.0,0.225,646.3386872729784,Legitimate
380,Life,Theft,Suburban,Yes,No,,49.0,6.0,1,6.1,345069.0,327743.0,0.37,616.6486919206898,Legitimate
381,Auto,Collision,Urban,Yes,No,No,18.0,11.0,3,3.7,132046.0,129470.0,0.201,408.45037197305805,Legitimate
382,Property,Fire,Urban,No,No,No,51.0,10.1,1,3.3,119230.0,115832.0,0.63,428.83656324623394,Legitimate
383,Health,Medical,Suburban,No,No,,53.0,11.1,0,16.7,114269.0,118010.0,0.676,,Legitimate
384,Property,Collision,Urban,No,No,No,46.0,5.1,2,4.8,28019.0,27514.0,0.233,700.3027151217166,Legitimate
385,Life,Medical,Suburban,Yes,No,,49.0,1.6,2,5.3,69589.0,72089.0,0.361,,Legitimate
386,Auto,Collision,Urban,Yes,No,No,27.0,4.6,1,5.7,233474.0,220008.0,0.195,,Legitimate
387,Auto,Collision,Urban,Yes,No,Yes,41.0,4.2,1,13.3,229547.0,209266.0,0.231,703.2935641270491,Legitimate
388,Life,Theft,Suburban,Yes,No,,62.0,4.0,0,7.7,139094.0,132222.0,0.526,530.7598390562359,Legitimate
389,Life,Collision,Suburban,No,No,,39.0,7.2,1,3.6,141776.0,147639.0,0.242,741.2101348083567,Legitimate
390,Property,Liability,Suburban,Yes,No,Yes,36.0,9.9,0,4.6,76171.0,73456.0,0.335,659.1803914887074,Legitimate
391,Life,Collision,Suburban,Yes,No,,45.0,5.5,1,9.3,192750.0,222522.0,0.242,537.0152362566561,Legitimate
392,Property,Collision,Urban,No,No,Yes,32.0,3.1,2,7.9,22932.0,20899.0,0.388,,Legitimate
393,Property,Theft,Suburban,Yes,No,No,45.0,10.5,0,1.8,73996.0,72270.0,0.259,597.7696885607379,Legitimate
394,Auto,Theft,Urban,No,No,Yes,18.0,8.7,1,4.5,253191.0,254821.0,0.762,688.2233804055668,Fraudulent
395,Property,Liability,Suburban,Yes,No,Yes,61.0,10.1,2,5.6,103064.0,97442.0,0.355,676.2865308369057,Legitimate
396,Health,Collision,Urban,Yes,No,No,32.0,11.3,1,9.6,227127.0,237476.0,0.693,,Legitimate
397,Health,Medical,Suburban,Yes,No,,25.0,5.9,3,0.7,115075.0,122983.0,0.285,675.8765302059211,Legitimate
398,Property,Fire,Urban,No,No,No,41.0,10.8,1,1.1,125144.0,107350.0,0.198,745.2549597167573,Legitimate
399,Auto,Theft,Urban,No,No,Yes,46.0,1.1,4,2.7,127702.0,131083.0,0.279,686.5753076335806,Fraudulent
400,Life,Theft,Suburban,Yes,No,,70.0,1.9,1,1.0,42552.0,41237.0,0.27,702.1550229059548,Legitimate
401,Auto,Medical,Suburban,No,Yes,,22.0,0.9,0,7.9,157596.0,143454.0,0.207,695.162054406605,Fraudulent
402,Health,Collision,Suburban,No,No,Yes,30.0,10.1,0,3.9,242269.0,221781.0,0.195,601.8986510752623,Legitimate
403,Health,Medical,Urban,Yes,No,,45.0,3.8,1,8.4,96053.0,87495.0,0.246,634.6558942703928,Legitimate
404,Life,Liability,Suburban,Yes,No,,49.0,17.7,4,8.0,107645.0,106368.0,0.812,680.0073059027204,Legitimate
405,Auto,Theft,Urban,No,No,No,35.0,1.9,1,3.0,341863.0,326218.0,0.518,683.6574991559567,Legitimate
406,Health,Collision,Urban,Yes,No,Yes,38.0,4.1,1,1.0,162510.0,156761.0,0.498,608.9691164257246,Legitimate
407,Auto,Theft,Suburban,Yes,Yes,No,27.0,0.4,3,3.5,141795.0,162478.0,0.202,642.2322458806075,Legitimate
408,Property,Collision,Urban,Yes,No,No,34.0,4.6,2,0.9,172929.0,150234.0,0.201,749.5549887756763,Legitimate
409,Property,Liability,Urban,Yes,No,Yes,44.0,1.8,1,13.7,27061.0,29355.0,0.212,676.4842285569091,Legitimate
410,Auto,Liability,Rural,Yes,No,Yes,47.0,3.3,1,3.1,106688.0,121094.0,0.275,724.6388047199567,Legitimate
411,Auto,Medical,Suburban,Yes,Yes,,42.0,8.7,0,12.0,317541.0,304412.0,0.45,827.4192101933393,Legitimate
412,Auto,Medical,Suburban,Yes,No,,50.0,2.1,1,2.5,128634.0,122460.0,0.245,527.1903902617719,Legitimate
413,Property,Medical,Suburban,No,No,,46.0,7.1,1,1.5,249553.0,288943.0,0.283,743.1813809946461,Legitimate
414,Property,Medical,Suburban,Yes,No,,38.0,4.7,1,1.5,318312.0,313645.0,0.179,850.0,Legitimate
415,Life,Liability,Rural,No,Yes,,45.0,0.6,1,12.3,74800.0,74200.0,0.324,758.4027868840918,Fraudulent
416,Property,Theft,Urban,Yes,No,No,62.0,1.4,0,5.5,729515.0,656347.0,0.186,649.7772525198693,Legitimate
417,Health,Collision,Urban,Yes,No,No,30.0,6.0,0,2.2,119097.0,111270.0,0.392,686.0915537625708,Legitimate
418,Life,Fire,Urban,No,No,,41.0,1.6,1,3.7,165178.0,163064.0,0.291,632.4775928087838,Legitimate
419,Auto,Theft,Suburban,Yes,No,No,44.0,3.6,1,1.6,164150.0,164440.0,0.205,663.2694001155072,Legitimate
420,Property,Collision,Rural,Yes,No,Yes,31.0,10.5,0,3.6,109297.0,90506.0,0.383,670.5048021412339,Legitimate
421,Property,Medical,Urban,Yes,No,,47.0,1.5,2,5.9,62038.0,62057.0,0.437,662.6266392939285,Legitimate
422,Life,Liability,Rural,Yes,No,,19.0,2.4,0,1.3,159899.0,142591.0,0.388,694.5712769689167,Legitimate
423,Auto,Liability,Rural,Yes,No,Yes,35.0,5.1,2,5.3,218007.0,185328.0,0.424,637.3327306341832,Legitimate
424,Health,Fire,Suburban,Yes,No,Yes,35.0,2.4,0,3.3,373774.0,362204.0,0.373,745.3406293546507,Legitimate
425,Health,Collision,Urban,No,No,No,52.0,2.2,2,3.1,177828.0,201787.0,0.183,707.4564141815009,Legitimate
426,Life,Collision,Urban,No,No,,53.0,4.0,0,3.8,98576.0,104257.0,0.17,653.2782306476328,Legitimate
427,Auto,Medical,Suburban,Yes,No,,35.0,1.4,0,5.4,173181.0,157810.0,0.403,594.6643305013754,Legitimate
428,Property,Medical,Rural,Yes,No,,35.0,8.1,0,5.9,21728.0,20768.0,0.285,,Legitimate
429,Health,Collision,Urban,No,No,Yes,54.0,2.3,0,4.2,134046.0,125412.0,0.234,550.2153375318469,Legitimate
430,Auto,Medical,Suburban,Yes,No,,44.0,2.7,2,6.3,138212.0,114636.0,0.398,622.7861272024636,Legitimate
431,Auto,Theft,Urban,No,No,No,20.0,2.1,3,6.9,287267.0,311200.0,0.47,644.9906695121038,Legitimate
432,Property,Fire,Suburban,Yes,No,Yes,42.0,4.6,0,0.8,119802.0,132779.0,0.168,618.8472153487618,Legitimate
433,Property,Theft,Urban,Yes,No,Yes,62.0,4.2,1,4.4,101183.0,96228.0,0.167,531.229728517988,Legitimate
434,Auto,Medical,Suburban,No,No,,28.0,4.4,1,1.5,100363.0,110960.0,0.22,704.330293874611,Legitimate
435,Auto,Theft,Urban,No,No,Yes,53.0,8.4,1,7.7,383480.0,374424.0,0.37,641.506054551987,Legitimate
436,Auto,Theft,Urban,Yes,Yes,Yes,52.0,4.4,0,5.7,294957.0,312556.0,0.322,539.2735383294488,Legitimate
437,Auto,Medical,Urban,Yes,No,,18.0,4.4,2,6.5,104876.0,102363.0,0.17,585.5749013906005,Legitimate
